dest,dest,origin,origin
bathurst,225656,bathurst,228222
bay,332849,bay,290818
bayview,100309,bayview,82073
bessarion,73219,bessarion,71394
bloor-yonge-one,422247,bloor-yonge-one,440037
bloor-yonge-two,577759,bloor-yonge-two,619834
broadview,251715,broadview,244317
castle-frank,249132,castle-frank,252565
chester,248948,chester,238475
christie,225718,christie,221279
college,250097,college,250500
coxwell,205296,coxwell,222365
davisville,49889,davisville,33863
don-mills,50538,don-mills,45679
donlands,199365,donlands,195348
downsview_park,69178,downsview_park,69850
dufferin,205635,dufferin,206035
dundas,237124,dundas,248515
dundas-west,189144,dundas-west,183647
dupont,161171,dupont,160677
eglinton,137130,eglinton,143568
eglinton_west,14737,,
ellesmere,552,,
finch,104879,finch,94430
finch_west,68858,finch_west,69170
glencairn,69594,glencairn,83689
greenwood,211697,greenwood,207612
high-park,164645,high-park,169836
hwy_407,25663,hwy_407,25654
islington,102496,islington,93552
jane,133827,jane,132921
keele,186721,keele,185098
kennedy,17696,kennedy,13987
king,239925,king,243528
kipling,35008,kipling,43586
lansdowne,185783,lansdowne,189716
lawrence,218348,lawrence,216524
lawrence_east,10961,lawrence_east,18248
lawrencewest,79025,lawrencewest,82567
leslie,83366,leslie,86029
main,104520,main,106828
museum,176409,museum,160518
northyorkcentre,188978,northyorkcentre,193862
old-mill,133584,old-mill,132999
osgoode,191911,osgoode,205922
ossington,225258,ossington,215096
pape,221151,pape,223050
pioneer_village,28240,pioneer_village,22125
queen,225096,queen,231636
queens-park,178733,queens-park,186230
rosedale,9266,,
royal-york,126660,royal-york,125620
runnymede,149882,runnymede,140340
sheppard-west,85371,sheppard-west,90378
sherbourne,298271,sherbourne,285277
spadina-one,172721,spadina-one,176680
spadina-two,266306,spadina-two,243803
st-andrew,191332,st-andrew,202967
st-clair,142329,st-clair,134667
st-george-one,273419,st-george-one,318977
st-george-two,389481,st-george-two,407639
st-patricks,211446,st-patricks,195940
stclairwest,91616,stclairwest,77436
summerhill,107283,summerhill,131299
union_ttc,231063,union_ttc,233726
vaughan_metro_centre,15258,vaughan_metro_centre,17219
victoria_park,27777,victoria_park,16640
warden,6983,,
wellesley,289087,wellesley,292336
wilson,58752,wilson,59562
woodbine,191784,woodbine,181833
yonge_sheppard-four,155957,yonge_sheppard-four,235074
yonge_sheppard-one,348251,yonge_sheppard-one,318402
york_mills,211684,york_mills,188081
york_univeristy,45299,york_univeristy,53056
yorkdale,23368,,