name,latitude,longitude,INT_ID,,,,
UNION STATION ,43.645255,-79.380916,100,,,,
KING STATION ,43.649061,-79.378109,101,,,,
QUEEN STATION ,43.652738,-79.379616,102,,,,
DUNDAS STATION ,43.656517,-79.381225,103,,,,
COLLEGE STATION ,43.660789,-79.383103,104,,,,
WELLESLEY STATION ,43.665348,-79.383388,105,,,,
BLOOR-YONGE STATION ,43.671043,-79.385918,106,,,,
ROSEDALE STATION ,43.676748,-79.388788,107,,,,
SUMMERHILL STATION ,43.682634,-79.391176,108,,,,
ST CLAIR STATION ,43.687748,-79.392589,109,,,,
DAVISVILLE STATION ,43.697748,-79.396989,110,,,,
EGLINTON STATION ,43.705227,-79.398648,111,,,,
LAWRENCE STATION ,43.725948,-79.40269,112,,,,
YORK MILLS STATION ,43.744847,-79.40649,113,,,,
SHEPPARD-YONGE STATION ,43.761647,-79.411691,114,,,,
NORTH YORK CENTRE STATION ,43.767867,-79.412755,115,,,,
FINCH STATION ,43.780847,-79.415291,116,,,,
ST ANDREW STATION ,43.647605,-79.385004,151,,,,
OSGOODE STATION ,43.651122,-79.386959,152,,,,
ST PATRICK STATION ,43.654618,-79.388225,153,,,,
QUEEN'S PARK STATION ,43.659834,-79.39069,154,,,,
MUSEUM STATION ,43.666621,-79.393467,155,,,,
ST GEORGE STATION ,43.668848,-79.398089,156,,,,
SPADINA STATION ,43.670249,-79.405189,157,,,,
DUPONT STATION ,43.674303,-79.407119,158,,,,
ST CLAIR WEST STATION ,43.684048,-79.41589,159,,,,
EGLINTON WEST STATION ,43.699148,-79.436091,160,,,,
GLENCAIRN STATION ,43.708582,-79.440796,161,,,,
LAWRENCE WEST STATION ,43.716347,-79.444191,162,,,,
YORKDALE STATION ,43.724595,-79.447693,163,,,,
WILSON STATION ,43.734547,-79.450792,164,,,,
SHEPPARD WEST STATION ,43.750204,-79.462781,165,,,,
DOWNSVIEW PARK STATION,43.753311,-79.478693,166,,,,
FINCH WEST STATION,43.764855,-79.491118,167,,,,
YORK UNIVERSITY STATION,43.774097,-79.499888,168,,,,
PIONEER VILLAGE STATION,43.77675,-79.509372,169,,,,
HIGHWAY 407 STATION,43.783359,-79.523454,170,,,,
VAUGHAN METROPOLITAN CENTRE STATION,43.794021,-79.527906,171,,,,
KIPLING STATION ,43.637148,-79.535993,200,,,,
ISLINGTON STATION ,43.645147,-79.524192,201,,,,
ROYAL YORK STATION ,43.648348,-79.510993,202,,,,
JANE STATION ,43.650148,-79.483892,203,,,,
OLD MILL STATION ,43.650148,-79.495092,204,,,,
RUNNYMEDE STATION ,43.652048,-79.475991,205,,,,
HIGH PARK STATION ,43.654003,-79.466748,206,,,,
KEELE STATION ,43.655248,-79.459891,207,,,,
DUNDAS WEST STATION ,43.657023,-79.452723,208,,,,
LANSDOWNE STATION ,43.659246,-79.442463,209,,,,
DUFFERIN STATION ,43.660199,-79.435477,210,,,,
OSSINGTON STATION ,43.662448,-79.42629,211,,,,
CHRISTIE STATION ,43.664275,-79.418395,212,,,,
BATHURST STATION ,43.666448,-79.411189,213,,,,
SPADINA STATION ,43.667249,-79.403889,214,,,,
BAY STATION ,43.669946,-79.391129,215,,,,
SHERBOURNE STATION ,43.672103,-79.376161,216,,,,
CASTLE FRANK STATION ,43.673748,-79.368988,217,,,,
BROADVIEW STATION ,43.676948,-79.358387,218,,,,
CHESTER STATION ,43.678239,-79.352497,219,,,,
PAPE STATION ,43.680148,-79.344787,220,,,,
DONLANDS STATION ,43.681048,-79.337786,221,,,,
GREENWOOD STATION ,43.682648,-79.330286,222,,,,
COXWELL STATION ,43.684148,-79.322786,223,,,,
WOODBINE STATION ,43.686548,-79.312686,224,,,,
MAIN STREET STATION ,43.688948,-79.301585,225,,,,
VICTORIA PARK STATION ,43.694448,-79.288985,226,,,,
WARDEN STATION ,43.711648,-79.279585,227,,,,
KENNEDY STATION ,43.732248,-79.263884,228,,,,
LAWRENCE EAST STATION ,43.750475,-79.270436,301,,,,
ELLESMERE STATION ,43.766714,-79.276507,302,,,,
MIDLAND STATION ,43.7704,-79.272179,303,,,,
SCARBOROUGH CENTRE STATION ,43.774648,-79.257285,304,,,,
MCCOWAN STATION ,43.774882,-79.251654,305,,,,
BAYVIEW STATION ,43.766871,-79.386703,401,,,,
BESSARION STATION ,43.769201,-79.376311,402,,,,
LESLIE STATION ,43.770847,-79.367789,403,,,,
DON MILLS STATION ,43.775547,-79.346589,404,,,,