station2,station1,direction,station1_end_time,platform1_start_time,platform1_end_time,station2_start_time,platform2_start_time,platform2_end_time,year,month,day,hour,date,dow
bathurst,225656,225656,225656,225656,225656,225656,219682,219682,225656,225656,225656,225656,225656,225656
bay,332849,332849,332849,332849,332849,332849,325391,325391,332849,332849,332849,332849,332849,332849
bayview,100309,100309,100309,100309,100309,100309,94589,94589,100309,100309,100309,100309,100309,100309
bessarion,73219,73219,73219,73219,73219,73219,71868,71868,73219,73219,73219,73219,73219,73219
bloor-yonge-one,422247,422247,422247,422247,422247,422247,408676,408676,422247,422247,422247,422247,422247,422247
bloor-yonge-two,577759,577759,577759,577759,577759,577759,577759,577759,577759,577759,577759,577759,577759,577759
broadview,251715,251715,251715,251715,251715,251715,245259,245259,251715,251715,251715,251715,251715,251715
castle-frank,249132,249132,249132,249132,249132,249132,246758,246758,249132,249132,249132,249132,249132,249132
chester,248948,248948,248948,248948,248948,248948,247588,247588,248948,248948,248948,248948,248948,248948
christie,225718,225718,225718,225718,225718,225718,222737,222737,225718,225718,225718,225718,225718,225718
college,250097,250097,250097,250097,250097,250097,239247,239247,250097,250097,250097,250097,250097,250097
coxwell,205296,205296,205296,205296,205296,205296,201268,201268,205296,205296,205296,205296,205296,205296
davisville,49889,49889,49889,49889,49889,49889,32102,32102,49889,49889,49889,49889,49889,49889
don-mills,50538,50538,50538,50538,50538,50538,34103,34103,50538,50538,50538,50538,50538,50538
donlands,199365,199365,199365,199365,199365,199365,195576,195576,199365,199365,199365,199365,199365,199365
downsview_park,69178,69178,69178,69178,69178,69178,68514,68514,69178,69178,69178,69178,69178,69178
dufferin,205635,205635,205635,205635,205635,205635,197036,197036,205635,205635,205635,205635,205635,205635
dundas,237124,237124,237124,237124,237124,237124,236647,236647,237124,237124,237124,237124,237124,237124
dundas-west,189144,189144,189144,189144,189144,189144,185268,185268,189144,189144,189144,189144,189144,189144
dupont,161171,161171,161171,161171,161171,161171,155471,155471,161171,161171,161171,161171,161171,161171
eglinton,137130,137130,137130,137130,137130,137130,130699,130699,137130,137130,137130,137130,137130,137130
eglinton_west,14737,14737,14737,14737,14737,14737,0,0,14737,14737,14737,14737,14737,14737
ellesmere,552,552,552,552,552,552,0,0,552,552,552,552,552,552
finch,104879,104879,104879,104879,104879,104879,66796,66796,104879,104879,104879,104879,104879,104879
finch_west,68858,68858,68858,68858,68858,68858,59273,59273,68858,68858,68858,68858,68858,68858
glencairn,69594,69594,69594,69594,69594,69594,68847,68847,69594,69594,69594,69594,69594,69594
greenwood,211697,211697,211697,211697,211697,211697,209052,209052,211697,211697,211697,211697,211697,211697
high-park,164645,164645,164645,164645,164645,164645,162925,162925,164645,164645,164645,164645,164645,164645
hwy_407,25663,25663,25663,25663,25663,25663,24580,24580,25663,25663,25663,25663,25663,25663
islington,102496,102496,102496,102496,102496,102496,93144,93144,102496,102496,102496,102496,102496,102496
jane,133827,133827,133827,133827,133827,133827,130874,130874,133827,133827,133827,133827,133827,133827
keele,186721,186721,186721,186721,186721,186721,182571,182571,186721,186721,186721,186721,186721,186721
kennedy,17696,17696,17696,17696,17696,17696,17003,17003,17696,17696,17696,17696,17696,17696
king,239925,239925,239925,239925,239925,239925,228726,228726,239925,239925,239925,239925,239925,239925
kipling,35008,35008,35008,35008,35008,35008,34059,34059,35008,35008,35008,35008,35008,35008
lansdowne,185783,185783,185783,185783,185783,185783,182441,182441,185783,185783,185783,185783,185783,185783
lawrence,218348,218348,218348,218348,218348,218348,212018,212018,218348,218348,218348,218348,218348,218348
lawrence_east,10961,10961,10961,10961,10961,10961,10961,10961,10961,10961,10961,10961,10961,10961
lawrencewest,79025,79025,79025,79025,79025,79025,75898,75898,79025,79025,79025,79025,79025,79025
leslie,83366,83366,83366,83366,83366,83366,81568,81568,83366,83366,83366,83366,83366,83366
main,104520,104520,104520,104520,104520,104520,98477,98477,104520,104520,104520,104520,104520,104520
museum,176409,176409,176409,176409,176409,176409,173629,173629,176409,176409,176409,176409,176409,176409
northyorkcentre,188978,188978,188978,188978,188978,188978,182346,182346,188978,188978,188978,188978,188978,188978
old-mill,133584,133584,133584,133584,133584,133584,132212,132212,133584,133584,133584,133584,133584,133584
osgoode,191911,191911,191911,191911,191911,191911,186360,186360,191911,191911,191911,191911,191911,191911
ossington,225258,225258,225258,225258,225258,225258,215515,215515,225258,225258,225258,225258,225258,225258
pape,221151,221151,221151,221151,221151,221151,213377,213377,221151,221151,221151,221151,221151,221151
pioneer_village,28240,28240,28240,28240,28240,28240,17116,17116,28240,28240,28240,28240,28240,28240
queen,225096,225096,225096,225096,225096,225096,219585,219585,225096,225096,225096,225096,225096,225096
queens-park,178733,178733,178733,178733,178733,178733,172594,172594,178733,178733,178733,178733,178733,178733
rosedale,9266,9266,9266,9266,9266,9266,0,0,9266,9266,9266,9266,9266,9266
royal-york,126660,126660,126660,126660,126660,126660,120411,120411,126660,126660,126660,126660,126660,126660
runnymede,149882,149882,149882,149882,149882,149882,145625,145625,149882,149882,149882,149882,149882,149882
sheppard-west,85371,85371,85371,85371,85371,85371,79293,79293,85371,85371,85371,85371,85371,85371
sherbourne,298271,298271,298271,298271,298271,298271,289940,289940,298271,298271,298271,298271,298271,298271
spadina-one,172721,172721,172721,172721,172721,172721,169457,169457,172721,172721,172721,172721,172721,172721
spadina-two,266306,266306,266306,266306,266306,266306,247987,247987,266306,266306,266306,266306,266306,266306
st-andrew,191332,191332,191332,191332,191332,191332,178184,178184,191332,191332,191332,191332,191332,191332
st-clair,142329,142329,142329,142329,142329,142329,135651,135651,142329,142329,142329,142329,142329,142329
st-george-one,273419,273419,273419,273419,273419,273419,270628,270628,273419,273419,273419,273419,273419,273419
st-george-two,389481,389481,389481,389481,389481,389481,389481,389481,389481,389481,389481,389481,389481,389481
st-patricks,211446,211446,211446,211446,211446,211446,197605,197605,211446,211446,211446,211446,211446,211446
stclairwest,91616,91616,91616,91616,91616,91616,85984,85984,91616,91616,91616,91616,91616,91616
summerhill,107283,107283,107283,107283,107283,107283,106808,106808,107283,107283,107283,107283,107283,107283
union_ttc,231063,231063,231063,231063,231063,231063,211739,211739,231063,231063,231063,231063,231063,231063
vaughan_metro_centre,15258,15258,15258,15258,15258,15258,12834,12834,15258,15258,15258,15258,15258,15258
victoria_park,27777,27777,27777,27777,27777,27777,13336,13336,27777,27777,27777,27777,27777,27777
warden,6983,6983,6983,6983,6983,6983,0,0,6983,6983,6983,6983,6983,6983
wellesley,289087,289087,289087,289087,289087,289087,284007,284007,289087,289087,289087,289087,289087,289087
wilson,58752,58752,58752,58752,58752,58752,56852,56852,58752,58752,58752,58752,58752,58752
woodbine,191784,191784,191784,191784,191784,191784,175587,175587,191784,191784,191784,191784,191784,191784
yonge_sheppard-four,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957,155957
yonge_sheppard-one,348251,348251,348251,348251,348251,348251,291499,291499,348251,348251,348251,348251,348251,348251
york_mills,211684,211684,211684,211684,211684,211684,198497,198497,211684,211684,211684,211684,211684,211684
york_univeristy,45299,45299,45299,45299,45299,45299,35891,35891,45299,45299,45299,45299,45299,45299
yorkdale,23368,23368,23368,23368,23368,23368,0,0,23368,23368,23368,23368,23368,23368
