Ward,raw,imm,lep,rac,bl,lico,c0
1,118040,11155,6015,89175,27365,27405.49235,11084.47021
2,118020,4320,2935,32655,6825,14931.31996,7223.130512
3,129080,6125,3155,37590,6325,16809.4161,16895.73259
4,108805,4495,2625,30445,5625,16691,35954
5,116685,7595,6170,64575,26720,30442.32647,27631.82928
6,104320,11365,5455,48935,8160,21975.67652,16097.7385
7,108035,8885,7690,80525,24565,26667,16907
8,114395,7685,2655,36830,6205,16711.00673,21917.65757
9,108470,4330,8065,36315,6885,19294.78498,33801.13753
10,115510,6945,4130,50615,5835,10639.80977,32108.24674
11,104310,4330,3680,34480,2530,13826.18711,25962.5919
12,107900,6085,2310,31285,5395,14356.22636,43259.32304
13,103805,7095,2470,51550,9030,20068.47503,44786.27842
14,106875,3250,5055,37275,5220,17096.2556,30274.2319
15,102510,7715,2715,43365,3055,11683.96849,13183.08401
16,94580,8525,3760,55510,8665,17051.44616,16984.85422
17,110080,12765,6845,77315,4735,20799,15694
18,118800,15670,7050,78650,2310,19190.32348,19040.98166
19,109465,5560,2660,39535,7135,18208.75257,28495.59803
20,110280,7220,3285,63600,12110,24420.00802,19356.79851
21,112605,8800,4750,78360,10630,26792.52657,21993.23311
22,105540,8930,15595,84485,6535,23297,8798
23,98800,7110,16550,90245,7400,19928.06234,4143.232961
24,102390,8385,3740,73595,14420,23777.19535,15924.08103
25,102275,3610,2495,74560,16150,18319.44266,3671.661505